ID_Venta,ID_Cliente,Monto,Fecha,Nombre,Ciudad,Total_Gastado_Cliente,Conteo_Transacciones_Ciudad
1,171,1007.27,16/11/2024,Elena Solis,Guasave,2571.96,402.0
2,435,959.55,20/03/2024,Carlos Ruiz,Los Mochis,2211.73,445.0
4,369,144.34,12/04/2024,Maria Garcia,Guasave,1945.19,402.0
5,420,541.47,21/07/2024,Lucia Diaz,Salvador Alvarado,5832.89,476.0
6,241,277.32,10/01/2024,Lucia Diaz,Mazatlan,1850.21,406.0
7,215,154.48,20/11/2024,Lucia Diaz,Guasave,3764.61,402.0
8,125,162.31,26/08/2024,Luis Lopez,Mazatlan,4026.39,406.0
10,359,646.92,27/08/2024,Lucia Diaz,Mazatlan,1632.56,406.0
12,404,148.69,16/05/2024,Luis Lopez,Mazatlan,1333.08,406.0
13,98,679.26,19/12/2024,Luis Lopez,Salvador Alvarado,3741.23,476.0
14,227,474.75,29/09/2024,Maria Garcia,Los Mochis,1816.11,445.0
16,111,310.15,18/09/2024,Elena Solis,Los Mochis,3658.11,445.0
18,184,682.86,23/06/2024,Ana Martinez,Culiacan,4321.23,424.0
20,213,464.11,22/10/2024,Ana Martinez,Mazatlan,1310.94,406.0
22,473,843.58,29/04/2024,Juan Perez,Salvador Alvarado,2671.88,476.0
24,340,696.27,12/03/2024,Lucia Diaz,Culiacan,2684.41,424.0
25,215,594.73,31/03/2024,Lucia Diaz,Guasave,3764.61,402.0
26,419,717.0,23/11/2024,Juan Perez,Mazatlan,3595.07,406.0
27,436,740.41,12/01/2024,Elena Solis,Salvador Alvarado,2726.82,476.0
40,249,950.18,23/05/2024,Ana Martinez,Salvador Alvarado,5483.43,476.0
42,467,884.0,18/03/2024,Carlos Ruiz,Mazatlan,5358.82,406.0
43,382,594.25,28/03/2024,Luis Lopez,Salvador Alvarado,2765.37,476.0
44,500,395.26,05/01/2024,Lucia Diaz,Salvador Alvarado,2526.42,476.0
45,189,291.73,16/12/2024,Juan Perez,Salvador Alvarado,1818.84,476.0
47,311,663.16,25/10/2024,Carlos Ruiz,Guasave,4292.65,402.0
48,212,45.82,15/11/2024,Lucia Diaz,Guasave,579.92,402.0
50,393,556.05,24/04/2024,Maria Garcia,Salvador Alvarado,1859.04,476.0
52,232,924.03,15/03/2024,Maria Garcia,Culiacan,1767.87,424.0
54,471,309.98,24/03/2024,Elena Solis,Salvador Alvarado,3888.39,476.0
57,377,864.2,16/06/2024,Maria Garcia,Mazatlan,2486.35,406.0
60,464,452.99,25/01/2024,Ana Martinez,Culiacan,2750.74,424.0
62,272,213.2,24/12/2024,Carlos Ruiz,Los Mochis,4315.67,445.0
63,278,492.67,04/03/2024,Juan Perez,Guasave,3787.26,402.0
64,50,577.06,17/11/2024,Elena Solis,Salvador Alvarado,7771.12,476.0
76,289,579.37,19/08/2024,Lucia Diaz,Salvador Alvarado,3003.32,476.0
77,182,483.38,23/09/2024,Pedro Hernandez,Culiacan,2786.86,424.0
78,383,885.57,28/09/2024,Elena Solis,Salvador Alvarado,2499.15,476.0
79,151,447.91,13/08/2024,Carlos Ruiz,Mazatlan,3941.97,406.0
80,464,162.85,21/07/2024,Ana Martinez,Culiacan,2750.74,424.0
81,281,55.69,24/10/2024,Elena Solis,Culiacan,4854.76,424.0
83,98,306.54,18/11/2024,Luis Lopez,Salvador Alvarado,3741.23,476.0
84,75,53.99,29/06/2024,Juan Perez,Los Mochis,1001.67,445.0
85,347,833.13,30/05/2024,Pedro Hernandez,Guasave,3115.88,402.0
86,264,437.87,21/05/2024,Lucia Diaz,Culiacan,2929.5,424.0
87,66,100.13,12/07/2024,Ana Martinez,Mazatlan,1526.13,406.0
88,385,975.91,06/07/2024,Ana Martinez,Culiacan,6091.74,424.0
89,485,825.87,10/11/2024,Pedro Hernandez,Mazatlan,5552.24,406.0
90,282,701.97,29/01/2024,Luis Lopez,Los Mochis,4013.52,445.0
91,150,414.51,28/12/2024,Carlos Ruiz,Salvador Alvarado,3442.0,476.0
94,132,400.17,17/01/2024,Pedro Hernandez,Culiacan,3617.65,424.0
95,146,768.77,15/10/2024,Carlos Ruiz,Salvador Alvarado,8206.4,476.0
96,255,379.26,06/04/2024,Carlos Ruiz,Culiacan,4247.88,424.0
97,107,290.61,06/01/2024,Pedro Hernandez,Culiacan,4145.51,424.0
98,464,175.05,13/10/2024,Ana Martinez,Culiacan,2750.74,424.0
99,478,269.27,27/04/2024,Juan Perez,Mazatlan,2221.26,406.0
102,262,202.79,17/12/2024,Lucia Diaz,Los Mochis,2328.14,445.0
103,345,714.01,07/03/2024,Lucia Diaz,Salvador Alvarado,3409.81,476.0
105,134,672.74,13/03/2024,Ana Martinez,Salvador Alvarado,2570.12,476.0
107,21,371.63,01/07/2024,Elena Solis,Los Mochis,2887.73,445.0
108,175,178.46,24/01/2024,Pedro Hernandez,Culiacan,1504.59,424.0
111,472,415.73,23/03/2024,Luis Lopez,Mazatlan,1774.04,406.0
112,430,547.59,23/06/2024,Pedro Hernandez,Los Mochis,2315.44,445.0
113,467,359.31,31/03/2024,Carlos Ruiz,Mazatlan,5358.82,406.0
114,30,615.4,17/12/2024,Luis Lopez,Culiacan,2378.77,424.0
115,376,92.47,18/10/2024,Carlos Ruiz,Guasave,1367.88,402.0
116,285,539.94,12/11/2024,Maria Garcia,Los Mochis,5118.38,445.0
117,406,636.83,13/08/2024,Elena Solis,Culiacan,2387.21,424.0
120,389,538.02,13/01/2024,Pedro Hernandez,Guasave,3237.68,402.0
122,355,369.26,14/06/2024,Luis Lopez,Los Mochis,3608.91,445.0
123,274,235.32,05/12/2024,Pedro Hernandez,Salvador Alvarado,2210.12,476.0
125,143,77.13,17/09/2024,Pedro Hernandez,Salvador Alvarado,3580.56,476.0
126,211,542.9,05/05/2024,Elena Solis,Culiacan,4501.79,424.0
127,180,721.13,14/04/2024,Ana Martinez,Mazatlan,3082.34,406.0
129,374,434.25,04/05/2024,Ana Martinez,Mazatlan,4068.95,406.0
130,468,462.99,03/12/2024,Pedro Hernandez,Guasave,4718.42,402.0
131,23,78.68,22/11/2024,Carlos Ruiz,Los Mochis,2973.65,445.0
132,106,239.27,15/06/2024,Maria Garcia,Mazatlan,4375.33,406.0
133,99,491.83,19/05/2024,Luis Lopez,Los Mochis,3115.62,445.0
134,108,993.63,10/04/2024,Luis Lopez,Salvador Alvarado,3249.18,476.0
135,186,782.92,05/06/2024,Juan Perez,Culiacan,3528.16,424.0
136,165,50.93,27/10/2024,Pedro Hernandez,Los Mochis,3163.11,445.0
138,184,487.75,10/12/2024,Ana Martinez,Culiacan,4321.23,424.0
139,90,206.68,19/02/2024,Juan Perez,Culiacan,3639.7,424.0
140,319,17.97,31/05/2024,Maria Garcia,Guasave,3500.44,402.0
141,4,971.96,16/03/2024,Carlos Ruiz,Salvador Alvarado,2994.97,476.0
142,388,971.49,16/04/2024,Juan Perez,Mazatlan,2210.81,406.0
143,178,448.8,19/02/2024,Pedro Hernandez,Guasave,3284.65,402.0
144,106,594.15,15/03/2024,Maria Garcia,Mazatlan,4375.33,406.0
145,25,10.04,24/07/2024,Lucia Diaz,Guasave,1949.1,402.0
146,241,116.61,14/09/2024,Lucia Diaz,Mazatlan,1850.21,406.0
147,155,254.42,07/11/2024,Lucia Diaz,Mazatlan,5137.92,406.0
149,479,666.56,13/11/2024,Pedro Hernandez,Los Mochis,3824.2,445.0
151,343,353.54,05/10/2024,Lucia Diaz,Culiacan,1824.62,424.0
153,10,219.46,20/10/2024,Lucia Diaz,Salvador Alvarado,1953.38,476.0
154,379,609.69,01/08/2024,Luis Lopez,Mazatlan,1585.51,406.0
155,146,655.16,20/08/2024,Carlos Ruiz,Salvador Alvarado,8206.4,476.0
156,419,898.81,06/05/2024,Juan Perez,Mazatlan,3595.07,406.0
157,465,225.16,24/09/2024,Pedro Hernandez,Los Mochis,4377.26,445.0
159,60,289.0,28/03/2024,Ana Martinez,Guasave,4568.57,402.0
162,266,879.55,27/09/2024,Elena Solis,Mazatlan,1620.72,406.0
163,449,605.67,04/02/2024,Lucia Diaz,Mazatlan,3078.31,406.0
168,180,925.86,06/03/2024,Ana Martinez,Mazatlan,3082.34,406.0
169,269,140.52,25/08/2024,Juan Perez,Mazatlan,1383.41,406.0
170,312,967.83,08/04/2024,Ana Martinez,Salvador Alvarado,3573.36,476.0
171,46,89.61,09/11/2024,Maria Garcia,Culiacan,1531.36,424.0
172,163,687.33,12/12/2024,Maria Garcia,Mazatlan,3135.06,406.0
173,182,721.45,04/04/2024,Pedro Hernandez,Culiacan,2786.86,424.0
174,130,804.46,10/09/2024,Pedro Hernandez,Los Mochis,1500.52,445.0
175,285,953.73,20/10/2024,Maria Garcia,Los Mochis,5118.38,445.0
176,319,959.07,21/04/2024,Maria Garcia,Guasave,3500.44,402.0
177,117,558.0,25/04/2024,Luis Lopez,Mazatlan,3151.38,406.0
178,306,691.83,14/06/2024,Maria Garcia,Guasave,3367.22,402.0
180,122,898.91,14/09/2024,Maria Garcia,Guasave,4463.1,402.0
181,151,58.3,17/03/2024,Carlos Ruiz,Mazatlan,3941.97,406.0
183,340,889.36,03/08/2024,Lucia Diaz,Culiacan,2684.41,424.0
184,209,321.76,03/03/2024,Luis Lopez,Salvador Alvarado,4818.18,476.0
185,494,163.79,16/01/2024,Maria Garcia,Guasave,945.28,402.0
186,358,96.88,17/03/2024,Carlos Ruiz,Salvador Alvarado,1190.3,476.0
187,385,791.43,30/11/2024,Ana Martinez,Culiacan,6091.74,424.0
188,415,501.32,13/11/2024,Carlos Ruiz,Culiacan,1212.08,424.0
190,391,461.9,25/07/2024,Pedro Hernandez,Salvador Alvarado,3794.73,476.0
192,223,605.18,21/04/2024,Ana Martinez,Mazatlan,3680.59,406.0
193,436,588.32,25/02/2024,Elena Solis,Salvador Alvarado,2726.82,476.0
194,16,396.91,28/01/2024,Juan Perez,Los Mochis,4206.5,445.0
195,416,172.14,08/08/2024,Pedro Hernandez,Salvador Alvarado,1615.71,476.0
198,94,74.15,13/07/2024,Luis Lopez,Guasave,4525.91,402.0
199,217,538.6,21/02/2024,Lucia Diaz,Mazatlan,6529.51,406.0
200,437,103.38,27/11/2024,Carlos Ruiz,Guasave,898.47,402.0
202,291,855.27,30/10/2024,Carlos Ruiz,Salvador Alvarado,5123.68,476.0
203,68,516.09,26/05/2024,Carlos Ruiz,Los Mochis,2274.15,445.0
205,114,529.69,30/10/2024,Lucia Diaz,Guasave,2909.17,402.0
206,262,45.49,18/12/2024,Lucia Diaz,Los Mochis,2328.14,445.0
208,348,664.64,03/04/2024,Elena Solis,Guasave,4152.58,402.0
213,254,918.17,09/08/2024,Elena Solis,Culiacan,4959.58,424.0
214,500,634.46,16/11/2024,Lucia Diaz,Salvador Alvarado,2526.42,476.0
215,173,396.96,02/04/2024,Luis Lopez,Mazatlan,2380.34,406.0
216,110,36.41,07/10/2024,Maria Garcia,Guasave,1617.54,402.0
217,132,930.03,02/09/2024,Pedro Hernandez,Culiacan,3617.65,424.0
218,211,643.06,28/03/2024,Elena Solis,Culiacan,4501.79,424.0
219,360,201.27,03/03/2024,Lucia Diaz,Culiacan,1883.85,424.0
222,481,67.95,06/10/2024,Luis Lopez,Culiacan,1376.3,424.0
224,347,859.57,23/11/2024,Pedro Hernandez,Guasave,3115.88,402.0
225,311,222.5,09/06/2024,Carlos Ruiz,Guasave,4292.65,402.0
227,305,45.14,10/03/2024,Juan Perez,Culiacan,1477.63,424.0
231,228,412.54,22/07/2024,Carlos Ruiz,Mazatlan,5157.48,406.0
233,132,208.27,22/05/2024,Pedro Hernandez,Culiacan,3617.65,424.0
234,284,604.12,09/03/2024,Elena Solis,Culiacan,4742.85,424.0
236,148,625.67,16/01/2024,Maria Garcia,Culiacan,4884.71,424.0
238,74,346.32,26/01/2024,Ana Martinez,Culiacan,3231.36,424.0
239,51,178.83,20/04/2024,Pedro Hernandez,Salvador Alvarado,335.68,476.0
240,315,301.9,19/11/2024,Carlos Ruiz,Los Mochis,4900.77,445.0
242,98,687.68,02/12/2024,Luis Lopez,Salvador Alvarado,3741.23,476.0
243,146,652.22,04/08/2024,Carlos Ruiz,Salvador Alvarado,8206.4,476.0
244,125,603.24,12/01/2024,Luis Lopez,Mazatlan,4026.39,406.0
245,238,984.73,28/03/2024,Ana Martinez,Salvador Alvarado,3538.71,476.0
246,49,571.72,16/10/2024,Maria Garcia,Los Mochis,2919.2,445.0
248,284,662.16,17/04/2024,Elena Solis,Culiacan,4742.85,424.0
250,267,124.61,16/05/2024,Carlos Ruiz,Los Mochis,4454.15,445.0
251,120,648.63,26/12/2024,Maria Garcia,Guasave,2952.69,402.0
253,254,469.34,29/02/2024,Elena Solis,Culiacan,4959.58,424.0
254,44,494.49,02/06/2024,Maria Garcia,Culiacan,2237.97,424.0
255,189,14.49,09/07/2024,Juan Perez,Salvador Alvarado,1818.84,476.0
256,4,896.36,10/08/2024,Carlos Ruiz,Salvador Alvarado,2994.97,476.0
257,202,296.73,25/10/2024,Pedro Hernandez,Salvador Alvarado,2123.14,476.0
258,42,551.58,19/07/2024,Luis Lopez,Guasave,4837.82,402.0
259,123,167.46,10/11/2024,Juan Perez,Mazatlan,4727.9,406.0
260,372,664.14,29/09/2024,Pedro Hernandez,Los Mochis,4919.76,445.0
261,155,601.45,16/06/2024,Lucia Diaz,Mazatlan,5137.92,406.0
263,209,546.56,10/06/2024,Luis Lopez,Salvador Alvarado,4818.18,476.0
265,374,786.6,09/01/2024,Ana Martinez,Mazatlan,4068.95,406.0
266,54,23.33,12/04/2024,Lucia Diaz,Guasave,2215.63,402.0
267,209,959.66,14/04/2024,Luis Lopez,Salvador Alvarado,4818.18,476.0
268,178,520.7,02/07/2024,Pedro Hernandez,Guasave,3284.65,402.0
269,47,528.97,06/01/2024,Maria Garcia,Culiacan,4200.35,424.0
270,469,390.64,17/10/2024,Juan Perez,Los Mochis,1877.78,445.0
271,6,340.14,03/03/2024,Ana Martinez,Guasave,5148.5,402.0
272,478,476.6,06/04/2024,Juan Perez,Mazatlan,2221.26,406.0
274,128,216.31,16/08/2024,Pedro Hernandez,Salvador Alvarado,1948.53,476.0
277,304,496.77,14/10/2024,Carlos Ruiz,Mazatlan,1459.27,406.0
280,81,576.66,27/04/2024,Carlos Ruiz,Salvador Alvarado,3483.29,476.0
282,39,965.84,21/06/2024,Pedro Hernandez,Salvador Alvarado,2536.6,476.0
283,480,20.98,29/07/2024,Maria Garcia,Los Mochis,1515.96,445.0
284,59,936.1,17/07/2024,Luis Lopez,Salvador Alvarado,3057.53,476.0
285,261,338.87,21/07/2024,Elena Solis,Culiacan,2080.92,424.0
286,327,53.53,12/10/2024,Ana Martinez,Salvador Alvarado,1000.91,476.0
287,238,304.02,23/04/2024,Ana Martinez,Salvador Alvarado,3538.71,476.0
288,18,115.99,14/09/2024,Pedro Hernandez,Los Mochis,2880.35,445.0
289,57,897.15,11/05/2024,Carlos Ruiz,Salvador Alvarado,3931.21,476.0
290,467,805.85,23/09/2024,Carlos Ruiz,Mazatlan,5358.82,406.0
291,393,308.12,08/07/2024,Maria Garcia,Salvador Alvarado,1859.04,476.0
292,54,352.08,14/07/2024,Lucia Diaz,Guasave,2215.63,402.0
293,73,136.96,02/11/2024,Ana Martinez,Salvador Alvarado,2504.27,476.0
295,286,605.46,04/03/2024,Carlos Ruiz,Salvador Alvarado,4056.46,476.0
296,248,274.67,30/07/2024,Lucia Diaz,Guasave,2225.97,402.0
297,236,703.98,08/12/2024,Elena Solis,Salvador Alvarado,4876.46,476.0
299,174,665.62,30/04/2024,Carlos Ruiz,Los Mochis,6088.72,445.0
300,136,34.74,01/10/2024,Elena Solis,Guasave,1253.22,402.0
301,36,191.98,23/10/2024,Maria Garcia,Mazatlan,901.82,406.0
303,247,422.32,23/05/2024,Carlos Ruiz,Mazatlan,3492.32,406.0
304,197,724.97,21/01/2024,Elena Solis,Culiacan,1537.41,424.0
305,278,390.98,30/03/2024,Juan Perez,Guasave,3787.26,402.0
307,42,635.6,20/02/2024,Luis Lopez,Guasave,4837.82,402.0
309,242,368.58,16/06/2024,Luis Lopez,Culiacan,2354.41,424.0
310,389,195.77,17/07/2024,Pedro Hernandez,Guasave,3237.68,402.0
311,228,878.39,26/05/2024,Carlos Ruiz,Mazatlan,5157.48,406.0
312,405,750.99,20/10/2024,Elena Solis,Los Mochis,2716.18,445.0
314,94,514.29,23/11/2024,Luis Lopez,Guasave,4525.91,402.0
315,221,236.02,01/05/2024,Maria Garcia,Los Mochis,2586.74,445.0
317,139,30.52,26/11/2024,Juan Perez,Los Mochis,1707.25,445.0
319,315,110.57,29/03/2024,Carlos Ruiz,Los Mochis,4900.77,445.0
320,142,604.95,03/10/2024,Luis Lopez,Guasave,4422.65,402.0
321,34,118.74,15/06/2024,Juan Perez,Guasave,3660.38,402.0
322,107,833.88,28/09/2024,Pedro Hernandez,Culiacan,4145.51,424.0
323,295,811.66,05/12/2024,Ana Martinez,Salvador Alvarado,1733.2,476.0
